epoch,mse,rel_l2
0.000000000000000000e+00,4.271407425403594971e-01,8.388804197311401367e-01
2.500000000000000000e+01,1.358957774937152863e-02,1.626349091529846191e-01
5.000000000000000000e+01,3.021116834133863449e-03,7.688768953084945679e-02
7.500000000000000000e+01,1.258796430192887783e-03,4.927254468202590942e-02
1.000000000000000000e+02,7.426450611092150211e-04,3.801320865750312805e-02
1.250000000000000000e+02,4.878243780694901943e-04,3.086620010435581207e-02
1.500000000000000000e+02,3.370939230080693960e-04,2.568322978913784027e-02
1.750000000000000000e+02,2.461464318912476301e-04,2.197317592799663544e-02
2.000000000000000000e+02,1.909440761664882302e-04,1.937593892216682434e-02
2.250000000000000000e+02,1.564077101647853851e-04,1.755320467054843903e-02
2.500000000000000000e+02,1.334799453616142273e-04,1.622649468481540680e-02
2.750000000000000000e+02,1.170585674117319286e-04,1.520208828151226044e-02
3.000000000000000000e+02,1.044256932800635695e-04,1.436218805611133575e-02
3.250000000000000000e+02,9.416566899744793773e-05,1.364070363342761993e-02
3.500000000000000000e+02,8.552258077543228865e-05,1.300116255879402161e-02
3.750000000000000000e+02,7.806382927810773253e-05,1.242236606776714325e-02
4.000000000000000000e+02,7.151930913096293807e-05,1.189097389578819275e-02
4.250000000000000000e+02,6.570668483618646860e-05,1.139809563755989075e-02
4.500000000000000000e+02,6.049813964636996388e-05,1.093743368983268738e-02
4.750000000000000000e+02,5.579991920967586339e-05,1.050447765737771988e-02
5.000000000000000000e+02,5.154158134246245027e-05,1.009597163647413254e-02
